company_id,role,risk_bucket,z_label,a_mij,direct,via_prior_z1,via_prior_z2,via_prior_z3,C_logit,C_logit_ref,C_logit_delta,pmz,C_prob,z_star
Spectrum Pharmaceuticals,Analyst,risk_constraint,1,0.2066189348697662,-0.03667411830662799,0.10535361193537701,-0.038141871439647604,0.07496964628756893,0.10550726847667034,0.1179155644337419,-0.01240829595707156,0.4151108483780164,-0.003012657723224547,1
Spectrum Pharmaceuticals,Analyst,risk_legal,1,0.2201704829931259,-0.08284650810047717,0.11128062928760964,-0.04062744621347774,0.07939786475830649,0.06720453973196122,0.077886461808944,-0.010681922076982778,0.4151108483780164,-0.002593504793522017,1
Spectrum Pharmaceuticals,CFO,risk_legal,1,0.2364402115345001,0.11357207704972978,0.0680307268967992,-0.03582522005961598,0.0749771271342094,0.22075471102112243,0.2305005008483817,-0.009745789827259266,0.4151108483780164,-0.0023662176574119347,1
Stericycle,Operator,risk_external,1,0.1497228443622589,0.013891130537940739,-0.02593943444418363,-0.0026162327011926435,0.05963995702261988,0.04497542041518434,0.09037944832587826,-0.045404027910693916,0.370351579264487,-0.010587823703514387,1
Stericycle,CEO,risk_legal,1,0.259033203125,0.24262492489417525,0.08153263936231327,-0.027882332539134004,0.11692912780310039,0.41320435952045487,0.3937619059121222,0.019442453608332688,0.370351579264487,0.004533810779380203,1
Stericycle,Operator,risk_legal,1,0.2963403463363647,0.013535277003159192,-0.04894971454853077,-0.007805818782909102,0.11116190053315843,0.06794164420487775,0.05599546784057571,0.011946176364302036,0.370351579264487,0.0027857442411299794,1
Stericycle,Operator,risk_constraint,1,0.2686143517494201,0.018734823694856188,-0.04352483340894555,-0.007217451110123539,0.10085515944864971,0.06884769862443682,0.057707932380839294,0.011139766243597526,0.370351579264487,0.0025976964272324344,1
Stericycle,Operator,risk_uncertainty,1,0.2853224575519562,0.00336725452741946,-0.04671177813599699,-0.007718977704571492,0.1066722040968989,0.05560870278374988,0.0447759851620009,0.010832717621748977,0.370351579264487,0.002526095363931753,1
Stericycle,CEO,risk_external,1,0.25927734375,0.037990918415779736,0.07353577818074127,-0.02543850791818839,0.11992420688675835,0.206012395565091,0.21358401418177855,-0.007571618616687564,0.370351579264487,-0.0017656354899044948,1
Stericycle,Analyst,risk_external,1,0.2878073453903198,0.07093217566487404,0.14162515435365067,-0.0527802415964109,0.10244514857562254,0.2622222369977364,0.25516922988557333,0.007053007112163057,0.370351579264487,0.0016446998057110102,1
Stericycle,CEO,risk_uncertainty,1,0.242919921875,0.233247731799557,0.07722998832983678,-0.02589810863466124,0.11137658383726293,0.39595619533199544,0.4013864094854749,-0.00543021415347944,0.370351579264487,-0.001266278627139762,1
Stericycle,Analyst,risk_uncertainty,1,0.2406305521726608,-0.008742013789043808,0.12401933713758875,-0.044023516953786604,0.0888697180154429,0.16012352441020122,0.1556111555302303,0.004512368879970918,0.370351579264487,0.00105224510654272,1
Stericycle,Analyst,risk_legal,1,0.2415870428085327,-0.09090520503437474,0.12210518769814194,-0.04457938436681019,0.08712110311748718,0.07374170141444418,0.077886461808944,-0.004144760394499819,0.370351579264487,-0.0009665220107033042,1
SunPower Corp.,CEO,risk_external,2,0.1590661108493805,-0.0782248200964798,-0.016379952257819297,-0.03616681165666506,-0.02120629653834181,-0.15197788054930597,-0.25682818462300677,0.1048503040737008,0.4819886825483861,0.02617856178749885,2
SunPower Corp.,CEO,risk_legal,2,0.2904665768146515,-0.0777762519979932,-0.03319503088604955,-0.07245616258508202,-0.03779273497387764,-0.2212201804430024,-0.1879978208320699,-0.033222359610932506,0.4819886825483861,-0.008294812318235803,2
SunPower Corp.,CEO,risk_constraint,2,0.2855072021484375,-0.05232929066597227,-0.033033609149843816,-0.07156934106677693,-0.037258723962073664,-0.19419096484466666,-0.1619444221656848,-0.03224654267898186,0.4819886825483861,-0.008051174647634473,2
SunPower Corp.,CEO,risk_uncertainty,2,0.2649601399898529,-0.01989802763622547,-0.030584700074559414,-0.06546225419706962,-0.035015165704269796,-0.15096014761212428,-0.14030088843475216,-0.010659259177372121,0.4819886825483861,-0.0026613568501208744,2
SunPower Corp.,Operator,risk_uncertainty,2,0.2476839274168014,0.1646139795011684,0.014722755977703662,-0.015528415820257688,-0.02669058048924586,0.13711773916936854,0.1271844921800166,0.00993324698935194,0.4819886825483861,0.00248008932695562,2
SunPower Corp.,Operator,risk_constraint,2,0.2447255998849868,0.14055889799735652,0.014397535282499128,-0.015238405839237301,-0.026484586114052095,0.11323344132656625,0.10417670186909583,0.009056739457470417,0.4819886825483861,0.002261246789651773,2
SunPower Corp.,Analyst,risk_legal,2,0.2411870211362838,0.03024994908698724,-0.044260392040720124,-0.10313827384964776,-0.025069665701753126,-0.14221838250513377,-0.15046110976681304,0.008242727261679267,0.4819886825483861,0.002058007812411255,2
SunPower Corp.,Operator,risk_external,2,0.257161796092987,0.06840333335848496,0.01617631998922857,-0.010413584542515824,-0.0295257259389684,0.0446403428662293,0.05222802396301348,-0.007587681096784177,0.4819886825483861,-0.001894458773113128,2
SunPower Corp.,Analyst,risk_external,2,0.2872290313243866,-0.07443179340058927,-0.051317761143249783,-0.12206842182268554,-0.029468819427041482,-0.2772867957935661,-0.27037187594500295,-0.006914919848563128,0.4819886825483861,-0.0017264867098904034,2
SunPower Corp.,Analyst,risk_uncertainty,2,0.241099938750267,-0.026798015455806456,-0.04511662280789932,-0.10222016157789894,-0.02566522143967456,-0.1998000212812793,-0.19379152700551255,-0.006008494275766746,0.4819886825483861,-0.0015001743679963853,2
Surgalign Holdings,CEO,risk_external,2,0.4108465909957886,-0.20204429778464497,-0.04230723634257408,-0.09341406033619297,-0.05477304118331914,-0.3925386356467312,-0.25682818462300677,-0.13571045102372442,0.2427829972755703,-0.024948929723305893,2
Surgalign Holdings,CEO,risk_legal,2,0.197721466422081,-0.052942527042170985,-0.022595956673197942,-0.04932112628841539,-0.025725627578502296,-0.15058523758228662,-0.1879978208320699,0.03741258324978328,0.2427829972755703,0.006877907362514032,2
Surgalign Holdings,CEO,risk_constraint,2,0.1891747862100601,-0.03467296901712703,-0.021887804936771497,-0.04742127236588344,-0.024687332182676085,-0.12866937850245805,-0.1619444221656848,0.033275043663226755,0.2427829972755703,0.0061172645115493045,2
Surgalign Holdings,CEO,risk_uncertainty,2,0.2022572010755539,-0.015189150250226728,-0.023346816744030153,-0.04997058165240548,-0.026728810646060024,-0.11523535929272238,-0.14030088843475216,0.02506552914202978,0.2427829972755703,0.004608032176775051,2
Surgalign Holdings,Analyst,risk_external,2,0.300860583782196,-0.07796423889048505,-0.053753241811119686,-0.12786164574523082,-0.030867374984037934,-0.29044650143087347,-0.27037187594500295,-0.020074625485870523,0.2427829972755703,-0.00369050737574451,2
Surgalign Holdings,Analyst,risk_legal,2,0.2292124927043914,0.028748090182229895,-0.04206293829548385,-0.09801763266916295,-0.023824999121812854,-0.13515747990422977,-0.15046110976681304,0.015303629862583268,0.2427829972755703,0.002813410338503177,2
Surgalign Holdings,Analyst,risk_uncertainty,2,0.2456783056259155,-0.0273068963245945,-0.045973364839753464,-0.10416127116182318,-0.026152591118425505,-0.20359412344459665,-0.19379152700551255,-0.0098025964390841,0.2427829972755703,-0.001802103580231149,2
Surgalign Holdings,Analyst,risk_constraint,2,0.2242486029863357,0.009631874753535831,-0.04151546458157441,-0.09593280031953984,-0.0234525446103386,-0.15126893475791703,-0.15576822657391476,0.00449929181599773,0.2427829972755703,0.0008271471686609392,2
Surgalign Holdings,CTO,risk_legal,2,0.2276609987020492,-0.06483299446100523,0.026334792607501163,-0.0017881251539796457,-0.023074864376325922,-0.06336119138380963,-0.06689756892319,0.003536377539380367,0.2427829972755703,0.0006501255727877165,2
Surgalign Holdings,CTO,risk_external,2,0.3038468956947326,-0.07938076839969735,0.03486843141313167,-0.009017464901312559,-0.02878598748726534,-0.08231578937514357,-0.07961314565172223,-0.0027026437234213413,0.2427829972755703,-0.0004968524370388046,2
Sycamore Networks,Operator,risk_legal,3,0.2176514863967895,-0.12249610951656731,0.022898484909886798,0.01901911468563669,-0.05811178126742568,-0.13869029118846948,-0.15562953917979003,0.016939247991320544,0.2094293201506754,0.002804608930317193,3
Sycamore Networks,Operator,risk_external,3,0.331964373588562,-0.11909963420104115,0.036631073213851735,0.0192433534929813,-0.0941191728380186,-0.1573443803322267,-0.14260747228889878,-0.014736908043327918,0.2094293201506754,-0.0024399704121905747,3
Sycamore Networks,Analyst,risk_legal,3,0.2828081250190735,0.07094590087717322,-0.09104122472144634,0.17312241059384975,-0.07259036526395554,0.08043672148562109,0.07257464795786626,0.007862073527754823,0.2094293201506754,0.0013017131361468784,3
Sycamore Networks,Operator,risk_constraint,3,0.2181460410356521,-0.14050769899037371,0.022513393984838575,0.019444776377194106,-0.058297994440574874,-0.15684752306891592,-0.16188463424993987,0.005037111181023957,0.2094293201506754,0.0008339878493153258,3
Sycamore Networks,Analyst,risk_external,3,0.2426998317241668,0.0030775042101056876,-0.07606655166530811,0.14765221098270423,-0.06148884980573795,0.013174313721763864,0.01520264605942789,-0.002028332337664026,0.2094293201506754,-0.0003358283077724869,3
Sycamore Networks,Operator,risk_uncertainty,3,0.2322381138801574,-0.15708926532875592,0.024216404947805976,0.02084290770861895,-0.06179967335662052,-0.17382962602895152,-0.17196047734202158,-0.0018691486869299445,0.2094293201506754,-0.0003094724808409695,3
Sycamore Networks,Analyst,risk_constraint,3,0.2394361644983291,0.03221485118837312,-0.07775973810376853,0.14662992278182171,-0.06183615279172698,0.03924888307469933,0.03785266214017151,0.0013962209345278198,0.2094293201506754,0.00023117045713475442,3
Sycamore Networks,Analyst,risk_uncertainty,3,0.2350558787584304,0.03466571235836278,-0.07716058056468832,0.14266126268480456,-0.061789050725391856,0.03837734375308717,0.038180371475281,0.00019697227780617055,0.2094293201506754,3.261244003530518e-05,3
Synergy Pharmaceuticals LLC,CEO,risk_external,2,0.4225730299949646,-0.20781107347422903,-0.04351477520760997,-0.09608029708782989,-0.05633638073708978,-0.4037425265067587,-0.25682818462300677,-0.1469143418837519,0.3221211053127517,-0.03208008329818093,2
Synergy Pharmaceuticals LLC,Analyst,risk_external,2,0.4025538861751556,-0.10431678006306593,-0.07192227081911151,-0.1710799126307473,-0.04130079653387142,-0.38861976004679616,-0.27037187594500295,-0.11824788410179321,0.3221211053127517,-0.025820501410412023,2
Synergy Pharmaceuticals LLC,CEO,risk_legal,2,0.1950931698083877,-0.052238766003659065,-0.022295590317020168,-0.0486655042583286,-0.025383658741869385,-0.1485835193208772,-0.1879978208320699,0.039414301511192684,0.3221211053127517,0.008606471358794674,2
Synergy Pharmaceuticals LLC,CEO,risk_constraint,2,0.1901293843984604,-0.03484793289087211,-0.021998253371043813,-0.047660565675520614,-0.024811907360215078,-0.12931865929765163,-0.1619444221656848,0.032625762868033176,0.3221211053127517,0.007124132178336743,2
Synergy Pharmaceuticals LLC,CEO,risk_uncertainty,2,0.1922044157981872,-0.014434204244847416,-0.022186410417878673,-0.04748689491657895,-0.02540030915036366,-0.10950781872966871,-0.14030088843475216,0.030793069705083456,0.3221211053127517,0.006723946950852592,2
Synergy Pharmaceuticals LLC,Analyst,risk_legal,2,0.2069468349218368,0.025955506190200015,-0.03797695249965811,-0.08849621854413821,-0.021510643255529018,-0.12202830810912532,-0.15046110976681304,0.028432801657687717,0.3221211053127517,0.006208560947038187,2
Synergy Pharmaceuticals LLC,Analyst,risk_uncertainty,2,0.1996101140975952,-0.022186463217078366,-0.0373527022572625,-0.0846295449986564,-0.021248606724948046,-0.1654173171979453,-0.19379152700551255,0.028374209807567247,0.3221211053127517,0.0061957668834474,2
Synergy Pharmaceuticals LLC,Analyst,risk_constraint,2,0.1908891797065735,0.00819902842761943,-0.0353395868405786,-0.08166175091430701,-0.019963723042556242,-0.12876603236982243,-0.15576822657391476,0.027002194204092334,0.3221211053127517,0.0058961747926989955,2
TBS International Plc,CEO,risk_external,2,0.105767473578453,-0.0520138547963115,-0.010891485046024002,-0.024048317242981777,-0.014100655361717748,-0.10105431244703501,-0.25682818462300677,0.15577387217597177,0.4257756589710592,0.038085270402356736,2
TBS International Plc,Analyst,risk_external,2,0.1947467923164367,-0.050466183534052064,-0.03479442633437052,-0.08276473127902577,-0.01998042478612561,-0.18800576593357396,-0.27037187594500295,0.08236611001142899,0.4257756589710592,0.02013775178055444,2
TBS International Plc,CEO,risk_legal,2,0.3129691779613495,-0.08380161986161734,-0.03576666769284726,-0.0780693802748846,-0.040720558376784,-0.23835822620613323,-0.1879978208320699,-0.05036040537406333,0.4257756589710592,-0.012312653139140189,2
TBS International Plc,CEO,risk_constraint,2,0.2966127693653106,-0.054364778564453035,-0.03431853984185057,-0.07435322225052085,-0.0387080018095747,-0.20174454246639917,-0.1619444221656848,-0.039800120300714364,0.4257756589710592,-0.00973076115092456,2
TBS International Plc,Analyst,risk_legal,2,0.3194582760334015,0.04006681843782404,-0.05862400253246394,-0.13660923793429042,-0.033205402795245725,-0.18837182482417605,-0.15046110976681304,-0.037910715057363015,0.4257756589710592,-0.00926881905121622,2
TBS International Plc,CEO,risk_uncertainty,2,0.284650593996048,-0.021376745144451804,-0.032857595273567256,-0.07032706709103402,-0.03761730997338751,-0.1621787174824406,-0.14030088843475216,-0.021877829047688424,0.4257756589710592,-0.005348926770957381,2
TBS International Plc,President,risk_legal,2,0.2702684998512268,-0.004705525371152562,-0.047096700182850525,-0.11208795515319073,-0.027926317363933587,-0.19181649807112738,-0.17510875450614616,-0.016707743564981226,0.4257756589710592,-0.004084888708208528,2
TBS International Plc,Analyst,risk_constraint,2,0.2538262605667114,0.010902287543284662,-0.04699121863012403,-0.10858602304106914,-0.026545858569201254,-0.17122081269710976,-0.15576822657391476,-0.015452586123195,0.4257756589710592,-0.003778014327414055,2
TBS International Plc,Operator,risk_uncertainty,2,0.2043288946151733,0.13579965733132554,0.012145658727184169,-0.012810294445705694,-0.022018614065447733,0.11311640754735629,0.1271844921800166,-0.014068084632660308,0.4257756589710592,-0.0034395165234953487,2
TBS International Plc,President,risk_uncertainty,2,0.2324428111314773,-0.002376374275367807,-0.042746296286280384,-0.0991026276025688,-0.024262992944614557,-0.16848829110883154,-0.17517413549323504,0.006685844384403505,0.4257756589710592,0.0016346270891978445,2
TMST,Analyst,risk_external,2,0.1942136734724044,-0.05032803248617919,-0.03469917668160085,-0.08253816303961455,-0.019925728424565282,-0.18749110063195987,-0.27037187594500295,0.08288077531304308,0.687193664324816,0.017815929795351005,2
TMST,Analyst,risk_legal,2,0.3007185161113739,0.03771645654491197,-0.05518505661825057,-0.128595595734105,-0.03125753879177234,-0.17732173459921596,-0.15046110976681304,-0.026860624832402924,0.687193664324816,-0.0057739204835604695,2
TMST,Analyst,risk_uncertainty,2,0.2549816966056824,-0.02834095886546243,-0.04771429262200115,-0.10810566921560777,-0.02714294221877527,-0.21130386292184664,-0.19379152700551255,-0.017512335916334082,0.687193664324816,-0.003764426021107843,2
TMST,Analyst,risk_constraint,2,0.2500861287117004,0.010741642254487161,-0.04629880267083,-0.10698600717636658,-0.026154705143895233,-0.16869787273660464,-0.15576822657391476,-0.012929646162689878,0.687193664324816,-0.0027793377588850965,2
TMST,Operator,risk_legal,2,0.2641077637672424,0.13657903670049582,0.0158394972352684,-0.016121830272355867,-0.028555595956075864,0.10774110770733249,0.09963407133920825,0.008107036368124237,0.687193664324816,0.0017426766368597052,2
TMST,Operator,risk_uncertainty,2,0.2406167984008789,0.15991707307251063,0.014302673750126234,-0.015085345819070325,-0.025929022087800034,0.13320537891576648,0.1271844921800166,0.006020886735749881,0.687193664324816,0.0012942409742757203,2
TMST,Operator,risk_external,2,0.2683500349521637,0.07137933074225611,0.016880096890197645,-0.010866644339935222,-0.030810290284507186,0.046582493008011344,0.05222802396301348,-0.005645530955002136,0.687193664324816,-0.001213555046654715,2
