company_id,role,z_label,C_logit
Diamond Offshore Drilling,CFO,1,0.5584427708077802
Diamond Offshore Drilling,CFO,2,-0.19980346370708513
Diamond Offshore Drilling,CFO,3,-0.35863930710070663
Diamond Offshore Drilling,Operator,1,0.2562230962054086
Diamond Offshore Drilling,Operator,2,0.3533949403033508
Diamond Offshore Drilling,Operator,3,-0.6096180365087817
Dune Energy,Analyst,1,0.6119470093166014
Dune Energy,Analyst,2,-0.7736126550417272
Dune Energy,Analyst,3,0.1616656457251186
Dune Energy,CEO,1,0.8422850810155283
Dune Energy,CEO,2,-0.9383202344896057
Dune Energy,CEO,3,0.09603515347406144
Dune Energy,Operator,1,0.24776492487086924
Dune Energy,Operator,2,0.3878546839165395
Dune Energy,Operator,3,-0.6356196087874307
DynaVox,Analyst,1,0.6204830614275493
DynaVox,Analyst,2,-0.7796139580559677
DynaVox,Analyst,3,0.1591308966284114
DynaVox,CEO,1,1.2200250781196174
DynaVox,CEO,2,-0.8004290899098319
DynaVox,CEO,3,-0.41959598820980204
DynaVox,CTO,1,-0.08756927594249667
DynaVox,CTO,2,-0.2720235154224012
DynaVox,CTO,3,0.3595927913648769
DynaVox,Operator,1,0.2569093261230907
DynaVox,Operator,2,0.34966945775495983
DynaVox,Operator,3,-0.6065787838780726
Eagle Bulk Shipping,Analyst,1,0.6192302949153121
Eagle Bulk Shipping,Analyst,2,-0.7787173550168415
Eagle Bulk Shipping,Analyst,3,0.1594870601015223
Eagle Bulk Shipping,CEO,1,1.3303419656549276
Eagle Bulk Shipping,CEO,2,-0.7650992947722601
Eagle Bulk Shipping,CEO,3,-0.5652426708826838
Eagle Bulk Shipping,CFO,1,0.6569257895827624
Eagle Bulk Shipping,CFO,2,-0.2795697618846703
Eagle Bulk Shipping,CFO,3,-0.3773560276981025
Eagle Bulk Shipping,IR,1,0.26339885030433186
Eagle Bulk Shipping,IR,2,-0.7249404411206608
Eagle Bulk Shipping,IR,3,0.4615415908163197
Eagle Bulk Shipping,Operator,1,0.2554464283138519
Eagle Bulk Shipping,Operator,2,0.35562724480867486
Eagle Bulk Shipping,Operator,3,-0.6110736731225491
Ebix,Analyst,1,0.6152292176413714
Ebix,Analyst,2,-0.7760001862248818
Ebix,Analyst,3,0.16077096858350332
Ebix,CEO,1,1.3505920381468666
Ebix,CEO,2,-0.7537114009404333
Ebix,CEO,3,-0.5968806372064499
Ebix,CFO,1,0.6407069079988895
Ebix,CFO,2,-0.26143207695908033
Ebix,CFO,3,-0.37927483103981985
Ebix,IR,1,0.2236837304636015
Ebix,IR,2,-0.7062879064880975
Ebix,IR,3,0.48260417602448685
Ebix,Operator,1,0.24177305170235494
Ebix,Operator,2,0.4117442712156251
Ebix,Operator,3,-0.6535173229180018
Ebix,President,1,-0.018997693467639007
Ebix,President,2,-0.6158951318559229
Ebix,President,3,0.6348928253235563
Education Holdings 1,Analyst,1,0.5569839163879342
